trackNum,time,dfOrig.x,dfOrig.y
1,2017-08-22T18:41:00Z,-74.79960287079858,35.60097233452754
2,2017-08-22T18:41:00Z,-74.75139260753697,35.56036346279221
3,2017-08-22T18:41:00Z,-74.74668274854898,35.47865033542928
4,2017-08-22T18:41:00Z,-74.71253830956698,35.54454516627178
5,2017-08-22T18:41:00Z,-74.76604002875142,35.569321824988
6,2017-08-22T18:41:00Z,-74.72814907648272,35.54151820552898
7,2017-08-22T18:41:00Z,-74.8422094952971,35.56068472945923
8,2017-08-22T18:41:00Z,-74.86317247738624,35.54798797954243
9,2017-08-22T18:41:00Z,-74.83571428092327,35.45643913889597
10,2017-08-22T18:41:00Z,-74.6640126314926,35.53158494309515
11,2017-08-22T18:41:00Z,-74.81869068100563,35.5477855628517
12,2017-08-22T18:41:00Z,-74.75336664831705,35.580331514784035
13,2017-08-22T18:41:00Z,-74.87157164802751,35.51273548512188
14,2017-08-22T18:41:00Z,-74.73669432837141,35.48175666646801
15,2017-08-22T18:41:00Z,-74.8452964475708,35.519817757518375
16,2017-08-22T18:41:00Z,-74.75064788625077,35.52957462043273
17,2017-08-22T18:41:00Z,-74.66824077244272,35.42547104858917
18,2017-08-22T18:41:00Z,-74.89428966679714,35.53751436607263
19,2017-08-22T18:41:00Z,-74.7840785522957,35.51704367018894
20,2017-08-22T18:41:00Z,-74.839039956197,35.58833417444871
21,2017-08-22T18:41:00Z,-74.78304937200816,35.5367596501333
22,2017-08-22T18:41:00Z,-74.68471979061941,35.50912623518681
23,2017-08-22T18:41:00Z,-74.74982701726393,35.60119436248968
24,2017-08-22T18:41:00Z,-74.7778448095903,35.49115162744842
25,2017-08-22T18:41:00Z,-74.79728753534619,35.5598542504742
26,2017-08-22T18:41:00Z,-74.70570751535459,35.51052595729625
27,2017-08-22T18:41:00Z,-74.65822121415438,35.43887076978327
28,2017-08-22T18:41:00Z,-74.81247288122078,35.54172020807331
29,2017-08-22T18:41:00Z,-74.78585452090111,35.52950574847958
30,2017-08-22T18:41:00Z,-74.78429744810266,35.61487816052673
31,2017-08-22T18:41:00Z,-74.76504423003394,35.51692745399073
32,2017-08-22T18:41:00Z,-74.75251203451688,35.5140586213424
33,2017-08-22T18:41:00Z,-74.81125620935717,35.56959688147619
34,2017-08-22T18:41:00Z,-74.72685361655597,35.63385939566563
35,2017-08-22T18:41:00Z,-74.70935233483367,35.55198111603334
36,2017-08-22T18:41:00Z,-74.77629870456973,35.52781413415518
37,2017-08-22T18:41:00Z,-74.7672009621478,35.49981489567069
38,2017-08-22T18:41:00Z,-74.7897157491902,35.49445606199274
39,2017-08-22T18:41:00Z,-74.79827024598926,35.525167016931526
40,2017-08-22T18:41:00Z,-74.73163005858358,35.614002965686765
41,2017-08-22T18:41:00Z,-74.67166561593334,35.43145091255861
42,2017-08-22T18:41:00Z,-74.8033744487662,35.617527223312386
43,2017-08-22T18:41:00Z,-74.7755314346763,35.59698620591805
44,2017-08-22T18:41:00Z,-74.80964044689262,35.53591327890394
45,2017-08-22T18:41:00Z,-74.77438453799562,35.595741062230616
46,2017-08-22T18:41:00Z,-74.72474832617603,35.52943438627551
47,2017-08-22T18:41:00Z,-74.70613700760391,35.58758313196064
48,2017-08-22T18:41:00Z,-74.65226763983932,35.51120880826779
49,2017-08-22T18:41:00Z,-74.73459168857427,35.632742884068385
50,2017-08-22T18:41:00Z,-74.85737221952508,35.52419893193902
51,2017-08-22T18:41:00Z,-74.73259384368134,35.48500238173911
52,2017-08-22T18:41:00Z,-74.73534580098264,35.50702536222299
53,2017-08-22T18:41:00Z,-74.66096798789397,35.477659458755056
54,2017-08-22T18:41:00Z,-74.73045919535173,35.53314303125686
55,2017-08-22T18:41:00Z,-74.81430797372907,35.48103546899483
56,2017-08-22T18:41:00Z,-74.7996606495683,35.48826519789675
57,2017-08-22T18:41:00Z,-74.67634290072354,35.554352346775495
58,2017-08-22T18:41:00Z,-74.64757320361286,35.60922376668106
59,2017-08-22T18:41:00Z,-74.77314237992232,35.509737261604606
60,2017-08-22T18:41:00Z,-74.74749943843167,35.55020057155798
