trackNum,time,dfOrig.x,dfOrig.y
1,2017-08-22T18:40:00Z,-74.78091198495055,35.55110093294948
2,2017-08-22T18:40:00Z,-74.78445940799317,35.548450998415056
3,2017-08-22T18:40:00Z,-74.78746668163542,35.55035897394372
4,2017-08-22T18:40:00Z,-74.7858426317282,35.54873623871335
5,2017-08-22T18:40:00Z,-74.78402256662501,35.54375843002589
6,2017-08-22T18:40:00Z,-74.78070411257812,35.54647677159802
7,2017-08-22T18:40:00Z,-74.78360939778011,35.54966870860506
8,2017-08-22T18:40:00Z,-74.78403718125305,35.547562341479505
9,2017-08-22T18:40:00Z,-74.78938381642236,35.54281593058951
10,2017-08-22T18:40:00Z,-74.78743172321255,35.547937923074
11,2017-08-22T18:40:00Z,-74.78821155807341,35.54373908305865
12,2017-08-22T18:40:00Z,-74.7907635533232,35.55051085239478
13,2017-08-22T18:40:00Z,-74.79113481114095,35.551514801447574
14,2017-08-22T18:40:00Z,-74.78986327220214,35.55203616463123
15,2017-08-22T18:40:00Z,-74.78353799905892,35.54518638529364
16,2017-08-22T18:40:00Z,-74.78362073737384,35.54187017862447
17,2017-08-22T18:40:00Z,-74.79083365051353,35.54613535585073
18,2017-08-22T18:40:00Z,-74.78347748674106,35.54857160225038
19,2017-08-22T18:40:00Z,-74.78500376943468,35.544559855378594
20,2017-08-22T18:40:00Z,-74.7838502480975,35.54529458170673
21,2017-08-22T18:40:00Z,-74.78326171302825,35.55088134542534
22,2017-08-22T18:40:00Z,-74.7870456580606,35.547881870924584
23,2017-08-22T18:40:00Z,-74.78693474193315,35.54773910684009
24,2017-08-22T18:40:00Z,-74.7851050427769,35.54504799704037
25,2017-08-22T18:40:00Z,-74.7829394319008,35.55095924215833
26,2017-08-22T18:40:00Z,-74.78412786569065,35.54444837291704
27,2017-08-22T18:40:00Z,-74.78856657143213,35.5463948907247
28,2017-08-22T18:40:00Z,-74.78966646178124,35.551216664452035
29,2017-08-22T18:40:00Z,-74.78375240599802,35.55032255792178
30,2017-08-22T18:40:00Z,-74.78173748664004,35.54702558412045
31,2017-08-22T18:40:00Z,-74.78858837735334,35.54546420878856
32,2017-08-22T18:40:00Z,-74.78987773270075,35.54690796144843
33,2017-08-22T18:40:00Z,-74.78283939264175,35.54318926252303
34,2017-08-22T18:40:00Z,-74.78570096511245,35.54549529081052
35,2017-08-22T18:40:00Z,-74.78133558681208,35.54658608116558
36,2017-08-22T18:40:00Z,-74.78943089106652,35.54385036993708
37,2017-08-22T18:40:00Z,-74.78636079705257,35.546918256885895
38,2017-08-22T18:40:00Z,-74.78460937879326,35.54630769777137
